      Largest deviation:   0.25 kcal/mol
Mean absolute deviation:   0.05 kcal/mol
                                                      SMILES    benchmark (kcal/mol)     raw data (kcal/mol)  fitted data (kcal/mol)          residual error
                                                [CH]1C=CC=C1                   62.65                   69.71                   62.53                   -0.12
                                                    c1ccccc1                   19.89                   27.16                   19.86                   -0.03
                                                   c1ccccc#1                  109.77                  118.69                  109.77                    0.00
                                                  [c]1ccccc1                   80.97                   88.68                   80.97                    0.00
                                               [CH2]c1ccccc1                   50.54                   59.55                   50.79                    0.25
                                                 [O]c1ccccc1                   13.32                   24.64                   13.32                    0.00
                                                   Oc1ccccc1                  -22.29                  -13.59                  -22.24                    0.05
                                                 O=Cc1ccccc1                   -8.98                    1.93                   -8.90                    0.08
                                               O=[C]c1ccccc1                   29.80                   41.95                   29.78                   -0.02
                                                   Cc1ccccc1                   11.97                   19.81                   11.88                   -0.09
                                                  CCc1ccccc1                    7.15                   15.55                    7.02                   -0.13
                                                 C=Cc1ccccc1                   35.49                   45.48                   35.51                    0.02
                                                 C#Cc1ccccc1                   75.94                   87.37                   75.96                    0.02
                                           Cc1ccc(C(=O)O)cc1                  -78.97                  -66.28                  -79.09                   -0.12

