      Largest deviation:   0.29 kcal/mol
Mean absolute deviation:   0.06 kcal/mol
                                                      SMILES    benchmark (kcal/mol)     raw data (kcal/mol)  fitted data (kcal/mol)          residual error
                                                 C=Cc1ccccc1                   35.49                   45.48                   35.58                    0.09
                                                 C#Cc1ccccc1                   75.94                   87.37                   76.00                    0.06
                                           Cc1ccc(C(=O)O)cc1                  -78.97                  -66.28                  -79.07                   -0.10
                                              c1ccc2ccccc2c1                   35.85                   48.48                   35.60                   -0.25
                                        c1ccc2cc3ccccc3cc2c1                   54.70                   73.40                   54.88                    0.18
                                      c1ccc2c(c1)ccc1ccccc12                   49.00                   67.46                   48.94                   -0.06
                                  c1cc2ccc3cccc4ccc(c1)c2c34                   53.80                   75.52                   53.78                   -0.02
                                         c1ccc(-c2ccccc2)cc1                   42.76                   58.10                   42.57                   -0.19
                                           Cc1ccc(C(=O)O)cc1                  -78.97                  -66.28                  -79.07                   -0.10
                                                 CCCc1ccccc1                    1.87                   10.79                    1.75                   -0.12

